DATE,CLOSE
2023-07-14,1168.4
2023-07-17,1173.13
2023-07-18,1174.09
2023-07-19,1172.98
2023-07-20,1172.81
2023-07-21,1185.9
2023-07-24,1190.72
2023-07-25,1195.9
2023-07-26,1200.84
2023-07-27,1197.33
2023-07-28,1207.67
2023-07-31,1222.9
2023-08-01,1217.56
2023-08-02,1220.43
2023-08-03,1210.95
2023-08-04,1225.98
2023-08-07,1241.42
2023-08-08,1242.23
2023-08-09,1233.99
2023-08-10,1220.61
2023-08-11,1232.21
2023-08-14,1236.84
2023-08-15,1234.05
2023-08-16,1243.26
2023-08-17,1233.48
2023-08-18,1177.99
2023-08-21,1179.76
2023-08-22,1180.49
2023-08-23,1172.56
2023-08-24,1189.39
2023-08-25,1183.37
2023-08-28,1201.72
2023-08-29,1204.43
2023-08-30,1213.16
2023-08-31,1224.05
2023-09-05,1234.98
2023-09-06,1245.5
2023-09-07,1243.14
2023-09-08,1241.48
2023-09-11,1223.63
2023-09-12,1245.44
2023-09-13,1238.39
2023-09-14,1223.81
2023-09-15,1227.36
2023-09-18,1211.81
2023-09-19,1211.5
2023-09-20,1226.11
2023-09-21,1212.74
2023-09-22,1193.05
2023-09-25,1153.2
2023-09-26,1137.96
2023-09-27,1153.85
2023-09-28,1152.43
2023-09-29,1154.15
2023-10-02,1155.25
2023-10-03,1118.1
2023-10-04,1128.67
2023-10-05,1113.89
2023-10-06,1128.54
2023-10-09,1137.36
2023-10-10,1143.69
2023-10-11,1150.81
2023-10-12,1151.61
2023-10-13,1154.73
2023-10-16,1141.42
2023-10-17,1121.65
2023-10-18,1103.4
2023-10-19,1087.85
2023-10-20,1108.03
2023-10-23,1093.53
2023-10-24,1105.9
2023-10-25,1101.66
2023-10-26,1055.45
2023-10-27,1060.62
2023-10-30,1042.4
2023-10-31,1028.19
2023-11-01,1039.66
2023-11-02,1075.47
2023-11-03,1076.78
2023-11-06,1089.66
2023-11-07,1080.29
2023-11-08,1113.43
2023-11-09,1113.89
2023-11-10,1101.68
2023-11-13,1100.07
2023-11-14,1109.73
2023-11-15,1122.5
2023-11-16,1125.53
2023-11-17,1101.19
2023-11-20,1103.66
2023-11-21,1110.46
2023-11-22,1113.82
2023-11-23,1088.49
2023-11-24,1095.61
2023-11-27,1088.06
2023-11-28,1095.43
2023-11-29,1102.8
2023-11-30,1094.13
2023-12-01,1102.16
2023-12-04,1120.49
2023-12-05,1115.97
2023-12-06,1126.43
2023-12-07,1121.49
2023-12-08,1124.44
2023-12-11,1125.5
2023-12-12,1127.63
2023-12-13,1114.2
2023-12-14,1110.13
2023-12-15,1102.3
2023-12-18,1091.88
2023-12-19,1096.3
2023-12-20,1100.76
2023-12-21,1102.43
2023-12-22,1103.06
2023-12-25,1117.66
2023-12-26,1122.25
2023-12-27,1121.99
2023-12-28,1128.93
2023-12-29,1129.93
2024-01-02,1131.72
2024-01-03,1144.17
2024-01-04,1150.72
2024-01-05,1154.68
2024-01-08,1160.19
2024-01-09,1158.59
2024-01-10,1161.54
2024-01-11,1162.22
2024-01-12,1154.7
2024-01-15,1154.12
2024-01-16,1163.12
2024-01-17,1162.53
2024-01-18,1169.06
2024-01-19,1181.5
2024-01-22,1182.86
2024-01-23,1177.5
2024-01-24,1172.97
2024-01-25,1170.37
2024-01-26,1175.67
2024-01-29,1175.69
2024-01-30,1179.65
2024-01-31,1164.31
2024-02-01,1173.02
2024-02-02,1172.55
2024-02-05,1186.06
2024-02-06,1188.48
2024-02-07,1198.53
2024-02-15,1202.5
2024-02-16,1209.7
2024-02-19,1224.97
2024-02-20,1230.06
2024-02-21,1230.04
2024-02-22,1227.31
2024-02-23,1212.0
2024-02-26,1224.17
2024-02-27,1237.46
2024-02-28,1254.55
2024-02-29,1252.73
2024-03-01,1258.28
2024-03-04,1261.41
2024-03-05,1269.98
2024-03-06,1262.73
2024-03-07,1268.46
2024-03-08,1247.35
2024-03-11,1235.49
2024-03-12,1245.0
2024-03-13,1270.51
2024-03-14,1264.26
2024-03-15,1263.78
2024-03-18,1243.56
2024-03-19,1242.46
2024-03-20,1260.08
2024-03-21,1276.42
2024-03-22,1281.8
